time,price,signal
2010-12-09,0.1999916943,-0.834458975
2010-12-10,0.204,-0.8551516031
2010-12-11,0.228,-0.8732576527
2010-12-12,0.2198536119,-0.8891004461
2010-12-13,0.2276052367,-0.9029628903
2010-12-14,0.24669,-0.9150925291
2010-12-15,0.24,-0.9257059629
2010-12-16,0.24996,-0.8724927176
2010-12-17,0.2426558153,-0.8884311279
2010-12-18,0.241,-0.9023772369
2010-12-19,0.2401,-0.9145800823
2010-12-20,0.267,-0.862757572
2010-12-21,0.2414360023,-0.8799128755
2010-12-22,0.25,-0.8949237661
2010-12-23,0.249970128,-0.9080582953
2010-12-24,0.248,-0.9195510084
2010-12-25,0.2499,-0.9296071323
2010-12-26,0.2649621274,-0.8759062408
2010-12-27,0.2647853887,-0.8914179607
2010-12-28,0.281,-0.7799907156
2010-12-29,0.3,-0.6824918762
2010-12-30,0.3,-0.5971803916
2010-12-31,0.3,-0.5225328427
2011-01-01,0.3,-0.4572162373
2011-01-02,0.29997,-0.4000642077
2011-01-03,0.295,-0.3500561817
2011-01-04,0.29895,-0.306299159
2011-01-05,0.2989163022,-0.2680117641
2011-01-06,0.298,-0.2345102936
2011-01-07,0.32,-0.2051965069
2011-01-08,0.3229,-0.1795469435
2011-01-09,0.323,-0.1571035756
2011-01-10,0.32659,-0.1374656287
2011-01-11,0.32659,-0.1202824251
2011-01-12,0.3187996213,-0.1052471219
2011-01-13,0.3176,-0.0920912317
2011-01-14,0.3999900058,-0.08057982773
2011-01-15,0.386,-0.07050734927
2011-01-16,0.38679,0.0008060693915
2011-01-17,0.3495,0.0007053107176
2011-01-18,0.31299,-0.06188285312
2011-01-19,0.31299,-0.1791474965
2011-01-20,0.39,-0.09425405942
2011-01-21,0.41991,-0.01997230199
2011-01-22,0.4400355289,0.04502423576
2011-01-23,0.4424,0.1018962063
2011-01-24,0.4199,0.1516591805
2011-01-25,0.41,0.1327017829
2011-01-26,0.4150851297,-0.00888593993
2011-01-27,0.4212,-0.07027519744
2011-01-28,0.4444840444,-0.06149079776
2011-01-29,0.439,-0.116304448
2011-01-30,0.4771420339,-0.03926639203
2011-01-31,0.5251368703,0.02814190697
2011-02-01,0.7075101169,0.0871241686
2011-02-02,0.7254348217,0.1387336475
2011-02-03,0.6938983676,0.1838919416
2011-02-04,0.8109589714,0.2234054489
2011-02-05,0.9116714775,0.2579797678
2011-02-06,0.898,0.2882322968
2011-02-07,0.88942137,0.3147032597
2011-02-08,0.918,0.3378653522
2011-02-09,1.016050245,0.3581321832
2011-02-10,0.9796529632,0.3758656603
2011-02-11,1.054069454,0.3913824528
2011-02-12,1.078703284,0.4049596462
2011-02-13,1.05,0.4168396904
2011-02-14,1.070012624,0.4272347291
2011-02-15,1.05,0.436330388
2011-02-16,1.031687629,0.4442890895
2011-02-17,1.039923198,0.4512529533
2011-02-18,0.8989559147,0.4573463341
2011-02-19,0.9440281169,0.4626780424
2011-02-20,0.865,0.4673432871
2011-02-21,0.8357474284,0.4089253762
2011-02-22,0.8770417797,0.4203097042
2011-02-23,0.9,0.4302709911
2011-02-24,0.9890952659,0.4389871172
2011-02-25,0.9146520018,0.4466137276
2011-02-26,0.958,0.4532870116
2011-02-27,0.8950331146,0.4591261352
2011-02-28,0.8602209234,0.4017353683
2011-03-01,0.9210968919,0.3515184473
2011-03-02,0.9399,0.2450786413
2011-03-03,0.9390733834,0.1519438112
2011-03-04,0.9011,0.07045083478
2011-03-05,0.9078406067,-0.0008555195673
2011-03-06,0.8847709731,-0.06324857962
2011-03-07,0.8775838644,-0.1178425072
2011-03-08,0.8660715915,-0.2281121938
2011-03-09,0.86,-0.2620981696
2011-03-10,0.9206703098,-0.2918358984
2011-03-11,0.88,-0.3178564111
2011-03-12,0.9178155132,-0.3406243597
2011-03-13,0.89249,-0.3605463147
2011-03-14,0.8939249229,-0.4404780254
2011-03-15,0.87224,-0.5104182722
2011-03-16,0.8512116657,-0.5716159882
2011-03-17,0.82542,-0.6251639897
2011-03-18,0.8019592081,-0.672018491
2011-03-19,0.765,-0.7130161796
2011-03-20,0.7415,-0.7488891571
2011-03-21,0.75897,-0.7802780125
2011-03-22,0.8091302928,-0.8077432609
2011-03-23,0.84971,-0.8317753533
2011-03-24,0.8723743659,-0.8528034342
2011-03-25,0.88377,-0.8712030049
2011-03-26,0.8552,-0.8873026293
2011-03-27,0.822,-0.9013898006
2011-03-28,0.7947405003,-0.9137160755
2011-03-29,0.7925099416,-0.9245015661
2011-03-30,0.7897063121,-0.9339388703
2011-03-31,0.78461,-0.9421965115
2011-04-01,0.77411,-0.9494219476
2011-04-02,0.78199,-0.9557442041
2011-04-03,0.779,-0.9612761786
2011-04-04,0.68,-0.9661166563
2011-04-05,0.7156918346,-0.9703520743
2011-04-06,0.74,-0.974058065
2011-04-07,0.7538,-0.9773008069
2011-04-08,0.74999,-0.980138206
2011-04-09,0.7340605172,-0.9826209303
2011-04-10,0.7331568206,-0.984793314
2011-04-11,0.7701139334,-0.9866941497
2011-04-12,0.8613816078,-0.988357381
2011-04-13,0.9303200584,-0.9273127084
2011-04-14,0.9986297662,-0.8113986198
2011-04-15,0.9836731368,-0.7724737924
2011-04-16,1.046632858,-0.6134145683
2011-04-17,1.098122098,-0.4742377473
2011-04-18,1.149433312,-0.3524580289
2011-04-19,1.185162221,-0.2459007753
2011-04-20,1.142125985,-0.1526631783
2011-04-21,1.207338872,-0.07108028105
2011-04-22,1.404505082,0.0003047540773
2011-04-23,1.828852301,0.06276665982
2011-04-24,1.63198422,0.1174208273
2011-04-25,1.564483635,0.1652432239
2011-04-26,1.77084089,0.2070878209
2011-04-27,1.903175959,0.2437018433
2011-04-28,2.285744466,0.2757391129
2011-04-29,2.85060509,0.3037717238
2011-04-30,3.5,0.3283002583
2011-05-01,3.094227553,0.349762726
2011-05-02,3.2,0.3685423853
2011-05-03,3.360585704,0.3849745871
2011-05-04,3.408673047,0.3993527637
2011-05-05,3.343736684,0.4119336683
2011-05-06,3.455075584,0.4229419597
2011-05-07,3.641262978,0.4325742148
2011-05-08,3.848668377,0.4410024379
2011-05-09,3.804089582,0.4483771332
2011-05-10,5.651667002,0.4548299915
2011-05-11,5.439751044,0.4604762426
2011-05-12,6.334878694,0.4654167123
2011-05-13,8.139034867,0.4697396232
2011-05-14,7.007243829,0.4735221703
2011-05-15,6.924924845,0.476831899
2011-05-16,7.885140745,0.4797279117
2011-05-17,7.257199541,0.4822619227
2011-05-18,6.763163362,0.4844791824
2011-05-19,6.890143632,0.4864192846
2011-05-20,5.618096219,0.488116874
2011-05-21,6.084800667,0.4896022647
2011-05-22,6.71195604,0.4909019817
2011-05-23,7.065256784,0.4920392339
2011-05-24,7.402660582,0.4930343297
2011-05-25,8.569289637,0.4939050385
2011-05-26,8.782155434,0.4946669087
2011-05-27,8.528658468,0.4953335451
2011-05-28,8.34926912,0.495916852
2011-05-29,8.400953472,0.4964272455
2011-05-30,8.779342465,0.4968738398
2011-05-31,8.721576422,0.4972646098
2011-06-01,9.623777232,0.4976065336
2011-06-02,10.70276023,0.4979057169
2011-06-03,14.26464677,0.4981675023
2011-06-04,18.31273873,0.4983965645
2011-06-05,16.5433424,0.4985969939
2011-06-06,18.40209864,0.4987723697
2011-06-07,23.23787846,0.4989258235
2011-06-08,29.02992133,0.4990600955
2011-06-09,28.79054402,0.4991775836
2011-06-10,24.04939923,0.4992803856
2011-06-11,14.74974663,0.4368703374
2011-06-12,18.85014473,0.3822615453
2011-06-13,19.54232911,0.3969788521
2011-06-14,19.25773551,0.4098564956
2011-06-15,19.46414262,0.3586244336
2011-06-16,17.92936254,0.3137963794
2011-06-17,15.43636891,0.149571832
2011-06-18,16.87540454,0.06837535301
2011-06-19,17.51071679,0.1223284339
2011-06-20,17.51071679,0.1070373796
2011-06-21,17.51071679,0.09365770719
2011-06-22,17.51071679,0.08195049379
2011-06-23,17.51071679,0.07170668207
2011-06-24,17.51071679,0.06274334681
2011-06-25,17.51071679,0.05490042846
2011-06-26,16.36134202,-0.0769621251
2011-06-27,16.75228581,-0.1298418595
2011-06-28,16.96183531,-0.176111627
2011-06-29,16.85456832,-0.2165976737
2011-06-30,16.18526278,-0.3145229644
2011-07-01,15.4203574,-0.4002075939
2011-07-02,15.38284407,-0.4751816447
2011-07-03,15.45755056,-0.5407839391
2011-07-04,13.85279681,-0.5981859467
2011-07-05,12.96481771,-0.6484127034
2011-07-06,14.71478358,-0.6923611154
2011-07-07,14.79728916,-0.730815976
2011-07-08,14.2990377,-0.764463979
2011-07-09,14.38150067,-0.7939059816
2011-07-10,14.62293755,-0.8196677339
2011-07-11,14.31015543,-0.8422092672
2011-07-12,14.02127262,-0.8619331088
2011-07-13,13.97145452,-0.8791914702
2011-07-14,13.99797455,-0.8317925364
2011-07-15,13.80639041,-0.8528184694
2011-07-16,13.7130793,-0.8712161607
2011-07-17,13.25813531,-0.8873141406
2011-07-18,13.63052125,-0.838899873
2011-07-19,13.82479484,-0.7965373889
2011-07-20,13.67833059,-0.7594702153
2011-07-21,13.61180844,-0.7270364384
2011-07-22,13.69854733,-0.6986568836
2011-07-23,13.68171834,-0.6738247731
2011-07-24,13.99251518,-0.6520966765
2011-07-25,14.03342538,-0.6330845919
2011-07-26,13.87803232,-0.6164490179
2011-07-27,13.87822476,-0.6018928907
2011-07-28,13.49159108,-0.5891562794
2011-07-29,13.51231639,-0.5780117444
2011-07-30,13.54028067,-0.5682602764
2011-07-31,13.3729061,-0.6222277418
2011-08-01,13.01911385,-0.6694492741
2011-08-02,12.21415644,-0.7107681148
2011-08-03,9.286356914,-0.7469221005
2011-08-04,10.76850375,-0.7785568379
2011-08-05,9.73015396,-0.8062372332
2011-08-06,6.964169736,-0.830457579
2011-08-07,8.501793292,-0.8516503817
2011-08-08,7.775337638,-0.870194084
2011-08-09,9.802499481,-0.8864198235
2011-08-10,10.05125313,-0.9006173455
2011-08-11,9.438412995,-0.9130401773
2011-08-12,9.452993285,-0.9239101552
2011-08-13,10.00402474,-0.9334213858
2011-08-14,10.80682077,-0.9417437126
2011-08-15,11.13069655,-0.9490257485
2011-08-16,10.99196557,-0.9553975299
2011-08-17,10.96396406,-0.9609728387
2011-08-18,10.85847146,-0.9658512338
2011-08-19,11.67047304,-0.9076198296
2011-08-20,11.45973174,-0.8566673509
2011-08-21,11.35448134,-0.812083932
2011-08-22,10.92089582,-0.8355734405
2011-08-23,10.91724505,-0.8561267605
2011-08-24,10.87044429,-0.8741109154
2011-08-25,9.546093674,-0.889847051
2011-08-26,8.126920163,-0.9036161696
2011-08-27,8.596497607,-0.9156641484
2011-08-28,9.0308664,-0.9262061299
2011-08-29,8.961157271,-0.9354303636
2011-08-30,8.809948738,-0.9435015682
2011-08-31,8.199151764,-0.9505638722
2011-09-01,8.234281665,-0.9567433881
2011-09-02,8.621424438,-0.8996504646
2011-09-03,8.449653441,-0.9121941565
2011-09-04,8.203470602,-0.860669887
2011-09-05,7.597332525,-0.8155861511
2011-09-06,6.846530029,-0.7761378822
2011-09-07,7.162970274,-0.7416206469
2011-09-08,6.67818,-0.7739180661
2011-09-09,4.986777042,-0.8021783078
2011-09-10,4.742846655,-0.8269060193
2011-09-11,5.852903973,-0.8485427669
2011-09-12,6.090629472,-0.8674749211
2011-09-13,5.802523277,-0.8840405559
2011-09-14,5.59743261,-0.8985354864
2011-09-15,4.867755185,-0.9112185506
2011-09-16,4.831168101,-0.9223162318
2011-09-17,4.775285635,-0.9320267028
2011-09-18,5.236732278,-0.940523365
2011-09-19,5.520376692,-0.9479579443
2011-09-20,6.146665552,-0.9544632013
2011-09-21,5.597067498,-0.9601553011
2011-09-22,5.475048777,-0.9651358885
2011-09-23,5.56342142,-0.9694939024
2011-09-24,5.457889687,-0.9733071646
2011-09-25,5.341154881,-0.9141437691
2011-09-26,4.873826081,-0.9248757979
2011-09-27,4.911157793,-0.9342663232
2011-09-28,4.763415321,-0.9424830328
2011-09-29,4.777660978,-0.9496726537
2011-09-30,5.14368591,-0.955963572
2011-10-01,5.034070545,-0.9614681255
2011-10-02,5.007062597,-0.9662846098
2011-10-03,5.02284486,-0.9704990336
2011-10-04,4.956805621,-0.9741866544
2011-10-05,4.885067131,-0.9774133226
2011-10-06,4.730166296,-0.9802366573
2011-10-07,4.276035757,-0.9827070751
2011-10-08,3.981252994,-0.9848686907
2011-10-09,4.111634643,-0.9242601044
2011-10-10,4.074962484,-0.8712275913
2011-10-11,4.008924496,-0.8873241424
2011-10-12,4.166235342,-0.9014086246
2011-10-13,4.03698109,-0.9137325465
2011-10-14,3.986280885,-0.9245159782
2011-10-15,3.83733856,-0.9339514809
2011-10-16,3.609741717,-0.9422075458
2011-10-17,2.581246722,-0.9494316026
2011-10-18,2.422274738,-0.9557526523
2011-10-19,2.217254713,-0.9612835707
2011-10-20,2.356123508,-0.9661231244
2011-10-21,2.570092305,-0.9703577338
2011-10-22,3.155486139,-0.9740630171
2011-10-23,3.14775093,-0.97730514
2011-10-24,2.522935998,-0.9801419975
2011-10-25,2.801923831,-0.9826242478
2011-10-26,2.777505239,-0.9847962168
2011-10-27,3.045407828,-0.9866966897
2011-10-28,3.179639437,-0.9883596035
2011-10-29,3.569188969,-0.9273146531
2011-10-30,3.257403723,-0.9364003214
2011-10-31,3.265098213,-0.9443502813
2011-11-01,3.171007743,-0.9513064961
2011-11-02,3.255800567,-0.9573931841
2011-11-03,3.168316385,-0.9627190361
2011-11-04,3.120118172,-0.9048791566
2011-11-05,2.977817598,-0.916769262
2011-11-06,2.962720577,-0.8646731042
2011-11-07,3.017757687,-0.8190889662
2011-11-08,3.056567111,-0.7792028454
2011-11-09,2.919567224,-0.7443024898
2011-11-10,2.856702085,-0.7137646785
2011-11-11,3.067861733,-0.6870440937
2011-11-12,3.025522996,-0.663663582
2011-11-13,2.986373303,-0.6432056343
2011-11-14,2.224224464,-0.62530493
2011-11-15,2.322384116,-0.6096418137
2011-11-16,2.546780931,-0.595936587
2011-11-17,2.279095836,-0.5839445136
2011-11-18,2.105066003,-0.5734514494
2011-11-19,2.203456722,-0.5642700183
2011-11-20,2.20198951,-0.556236266
2011-11-21,2.279879165,-0.5492067327
2011-11-22,2.322458596,-0.5430558911
2011-11-23,2.330323568,-0.4751739047
2011-11-24,2.438879,-0.4157771666
2011-11-25,2.496161003,-0.3638050208
2011-11-26,2.471799969,-0.3808293932
2011-11-27,2.477564951,-0.3957257191
2011-11-28,2.541240252,-0.2837600042
2011-11-29,2.757698483,-0.1857900037
2011-11-30,2.966041546,-0.1000662532
2011-12-01,3.08258945,-0.02505797155
2011-12-02,3.100402333,0.04057427489
2011-12-03,2.803856185,0.09800249053
2011-12-04,2.819693976,0.1482521792
2011-12-05,2.874796227,0.1922206568
2011-12-06,3.025360451,0.2306930747
2011-12-07,2.985502421,0.2643564404
2011-12-08,2.991880483,0.2938118853
2011-12-09,2.955791952,0.3195853997
2011-12-10,3.068975267,0.3421372247
2011-12-11,3.249268847,0.3618700716
2011-12-12,3.187335357,0.3791363127
2011-12-13,3.241088409,0.3942442736
2011-12-14,3.155086504,0.4074637394
2011-12-15,3.203138541,0.419030772
2011-12-16,3.209137777,0.4291519255
2011-12-17,3.192541704,0.4380079348
2011-12-18,3.194010809,0.4457569429
2011-12-19,3.525773919,0.4525373251
2011-12-20,3.952550827,0.4584701594
2011-12-21,3.888993251,0.4636613895
2011-12-22,3.903060421,0.4682037158
2011-12-23,3.937965076,0.4721782513
2011-12-24,3.939419119,0.4756559699
2011-12-25,4.233866878,0.4786989737
2011-12-26,3.999121964,0.481361602
2011-12-27,4.095518546,0.4836914017
2011-12-28,4.207295876,0.4857299765
2011-12-29,4.173352227,0.4875137294
2011-12-30,4.31063509,0.4890745133
2011-12-31,4.714306331,0.5529401991
2012-01-01,5.294842777,0.6088226742
2012-01-02,5.204877892,0.6577198399
2012-01-03,4.870508829,0.7005048599
2012-01-04,5.585706267,0.7379417525
2012-01-05,6.874000877,0.7706990334
2012-01-06,6.68331664,0.7993616542
2012-01-07,6.796227981,0.8244414474
2012-01-08,7.096650566,0.8463862665
2012-01-09,6.288538342,0.8655879832
2012-01-10,6.528474555,0.8823894853
2012-01-11,6.889127721,0.8970907996
2012-01-12,6.773564196,0.9099544497
2012-01-13,6.45436889,0.9212101435
2012-01-14,6.761727143,0.9310588755
2012-01-15,7.046922558,0.9396765161
2012-01-16,6.715607667,0.9472169516
2012-01-17,5.59962195,0.9538148326
2012-01-18,5.900231288,0.9595879786
2012-01-19,6.315706342,0.9646394812
2012-01-20,6.501491988,0.9690595461
2012-01-21,6.180568326,0.9729271028
2012-01-22,6.302967227,0.976311215
2012-01-23,6.374876077,0.9792723131
2012-01-24,6.274476476,0.981863274
2012-01-25,5.810465072,0.9841303647
2012-01-26,5.367226954,0.9861140691
2012-01-27,5.303137197,0.9878498105
2012-01-28,5.659796775,0.9893685842
2012-01-29,5.391429457,0.9906975112
2012-01-30,5.503481939,0.9918603223
2012-01-31,5.538220296,0.930377782
2012-02-01,6.075232652,0.9390805592
2012-02-02,6.099572913,0.9466954893
2012-02-03,5.951610928,0.9533585532
2012-02-04,5.895413239,0.896688734
2012-02-05,5.678115717,0.8471026423
2012-02-06,5.482664058,0.803714812
2012-02-07,5.6620277,0.7657504605
2012-02-08,5.61852819,0.7325316529
2012-02-09,5.835699854,0.7034651963
2012-02-10,5.937834155,0.6780320468
2012-02-11,5.612132853,0.6557780409
2012-02-12,5.519097169,0.6363057858
2012-02-13,5.348354559,0.6192675626
2012-02-14,4.483654092,0.6043591173
2012-02-15,4.325520322,0.5913142276
2012-02-16,4.255239045,0.5798999492
2012-02-17,4.391538373,0.5699124555
2012-02-18,4.270081278,0.5611733986
2012-02-19,4.389551458,0.5535267237
2012-02-20,4.365135939,0.5468358833
2012-02-21,4.315115602,0.5409813979
2012-02-22,4.419310288,0.5358587231
2012-02-23,5.039515118,0.5313763827
2012-02-24,5.025608759,0.5899543349
2012-02-25,4.772567381,0.641210043
2012-02-26,4.926420852,0.6860587877
2012-02-27,4.952515756,0.7253014392
2012-02-28,4.857257776,0.7596387593
2012-02-29,4.872748756,0.7896839144
2012-03-01,4.922072124,0.8159734251
2012-03-02,4.714823587,0.776476747
2012-03-03,4.628193252,0.7419171536
2012-03-04,4.834144482,0.7116775094
2012-03-05,4.982392904,0.7477178207
2012-03-06,4.987841352,0.7792530931
2012-03-07,4.949112885,0.8068464565
2012-03-08,4.934979495,0.8309906494
2012-03-09,4.872297847,0.8521168182
2012-03-10,4.841423805,0.808102216
2012-03-11,4.892028752,0.769589439
2012-03-12,4.910839379,0.7983907591
2012-03-13,5.290880279,0.8235919142
2012-03-14,5.390543292,0.8456429249
2012-03-15,5.340820899,0.8649375593
2012-03-16,5.339574791,0.8818203644
2012-03-17,5.236003554,0.8965928189
2012-03-18,5.270148985,0.9095187165
2012-03-19,4.678672553,0.9208288769
2012-03-20,4.830830216,0.9307252673
2012-03-21,4.817229525,0.9393846089
2012-03-22,4.729608505,0.9469615328
2012-03-23,4.691643177,0.9535913412
2012-03-24,4.651986266,0.8968924235
2012-03-25,4.552270262,0.8472808706
2012-03-26,4.63272236,0.8663707618
2012-03-27,4.811340735,0.8830744166
2012-03-28,4.790589392,0.8976901145
2012-03-29,4.794066572,0.9104788502
2012-03-30,4.861409357,0.9216689939
2012-03-31,4.889776873,0.9314603697
2012-04-01,4.793325677,0.9400278235
2012-04-02,4.983045479,0.9475243455
2012-04-03,4.956233193,0.9540838023
2012-04-04,4.917842178,0.897323327
2012-04-05,4.920849245,0.8476579112
2012-04-06,4.949107432,0.8042006723
2012-04-07,4.70971191,0.7661755882
2012-04-08,4.778818849,0.7954036397
2012-04-09,4.852547381,0.7584781847
2012-04-10,4.841417594,0.7261684116
2012-04-11,4.915250717,0.6978973602
2012-04-12,4.901158147,0.7356601902
2012-04-13,4.934406733,0.7062026664
2012-04-14,4.956364661,0.6804273331
2012-04-15,4.961600338,0.6578739165
2012-04-16,4.950764569,0.7006396769
2012-04-17,4.968744508,0.7380597173
2012-04-18,5.124377443,0.7708022526
2012-04-19,5.130906511,0.7994519711
2012-04-20,5.366515968,0.8245204747
2012-04-21,5.282550339,0.8464554153
2012-04-22,5.195608995,0.8656484884
2012-04-23,5.110888192,0.8824424274
2012-04-24,5.087867262,0.8971371239
2012-04-25,5.148816245,0.9099949835
2012-04-26,5.097419286,0.9212456105
2012-04-27,5.09588734,0.9310899092
